contig	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.58	PSC.63	PSC.61	PSC.52	PSC.54	PSC.59	PSC.69	PSC.67	PSC.78	PSC.71
19	Phel_contig_10182	190.549492972667	3.39808287828802	0.439514921754912	7.73143916188334	1.06337493445351e-14	7.70677439162064e-13	33	28	42	52	21	502	104	533	227	336
20	Phel_contig_10189	149.782291531784	5.68098074038115	0.426977329604735	13.3051109426353	2.16172015986512e-40	2.02590450016601e-37	6	3	3	15	4	247	239	450	204	288
21	Phel_contig_10201	115.590746458229	2.21466703749449	0.404658437011256	5.47292935210167	4.42656616312436e-08	7.72177247634106e-07	31	51	30	75	35	98	225	154	137	269
22	Phel_contig_10208	188.815973014088	6.15982192860363	0.811419767921626	7.59141220379857	3.16437546124521e-14	2.11826099225917e-12	17	1	5	2	2	36	519	686	445	123
23	Phel_contig_10238	104.608279370303	3.34579326401225	0.705137819683679	4.74487847710842	2.08631548052252e-06	2.39910083762081e-05	12	23	19	33	14	50	35	85	125	611
24	Phel_contig_10264	55.8477950897903	3.17557172931729	0.638604396080672	4.97267439561461	6.60355204377875e-07	8.72424935715099e-06	18	16	6	7	13	47	49	103	21	271
25	Phel_contig_10267	250.56274391564	4.87093773695531	0.527367655791354	9.23632248482534	2.55114768456829e-20	4.20212677401193e-18	28	14	20	20	5	210	836	424	266	489
26	Phel_contig_10271	289.354407809981	3.19646699629292	0.644731301281022	4.95782815250606	7.12855728921338e-07	9.30100480106775e-06	76	31	10	169	22	303	344	349	571	857
27	Phel_contig_10279	122.416725775994	2.42253609713436	0.562690249941141	4.30527470022409	1.66778651345992e-05	0.000149053278075678	46	23	61	58	14	374	83	101	219	155
28	Phel_contig_10286	5.75724467463994	3.47629630011894	1.30505930034037	2.66370754126827	0.00772847214238585	0.0263510746312587	4	0	0	0	1	4	17	8	18	0
29	Phel_contig_10300	17.598953339182	5.95898431820414	0.93426252740969	6.37827606628498	1.79092468627561e-10	5.48745784933466e-09	1	0	1	1	0	39	22	58	20	31
30	Phel_contig_10304	79.9373411420093	4.32344343948857	0.500920258203353	8.63100137933218	6.08171506138842e-18	7.09394214327959e-16	16	6	2	9	8	61	94	292	159	155
31	Phel_contig_10324	86.246666438362	2.32218626393611	0.60087470649488	3.86467634406225	0.000111236600811511	0.000764153270893718	86	12	13	20	20	170	72	197	57	204
32	Phel_contig_10335	15.6209674409006	3.78941412183017	0.725531787080858	5.22294707041947	1.76097738010865e-07	2.70241915508712e-06	3	2	6	0	0	11	25	50	27	30
33	Phel_contig_10359	870.434794322355	2.94879768248896	0.694551622233511	4.24561341172357	2.17996209660974e-05	0.000187787669926021	240	15	135	255	462	200	1953	2931	974	1584
34	Phel_contig_10371	583.185268027359	4.34229556340581	0.770071921105167	5.63881819918063	1.71221187616401e-08	3.30031874967273e-07	92	59	35	61	46	147	1162	390	104	3379
35	Phel_contig_10373	164.644555289485	2.29985141446227	0.581034357961433	3.95820209760286	7.55160505282912e-05	0.000544252246422142	55	51	34	77	88	562	36	419	101	220
36	Phel_contig_10382	6.8160850823089	2.58245750410504	0.942890093306307	2.73887436344726	0.00616499275089606	0.0219481494608139	2	0	7	1	0	6	7	18	20	5
37	Phel_contig_10383	22.2800940608181	2.69091284159087	0.818954310085921	3.28579117107101	0.00101696374681901	0.00500979530742198	16	0	2	6	8	41	32	5	32	62
38	Phel_contig_10389	87.214239100978	2.75213637801838	0.538633728935936	5.10947649612509	3.23052674281416e-07	4.67017318171294e-06	48	21	13	6	33	93	237	118	136	105
39	Phel_contig_1039	3004.79530905125	2.28521239708677	0.477949580182906	4.78128340694899	1.74179601382301e-06	2.0422144980018e-05	1499	825	495	963	1822	5588	7063	4915	1200	4363
40	Phel_contig_10397	63.3569491854016	2.73559371176802	0.616025382287021	4.4407159029909	8.96600986067711e-06	8.67490978972882e-05	26	21	9	17	16	67	66	120	14	270
41	Phel_contig_10401	26.7159163270773	8.29032473960458	1.36958788060627	6.05315281844836	1.42038002749766e-09	3.4840332479541e-08	0	0	0	0	0	21	19	25	2	189
42	Phel_contig_10410	13200.6571958482	4.82076165135415	0.897981896109874	5.36843968930561	7.94207402916214e-08	1.31295430635382e-06	3025	153	324	68	1194	2882	10702	88266	26409	10979
43	Phel_contig_10432	9.51295612222291	2.23953475311586	0.761372646718807	2.94144367120005	0.0032668625229266	0.0130660612462943	2	2	1	12	1	12	20	11	19	9
44	Phel_contig_10441	1045.55749362052	3.14749684991448	0.739302037696602	4.25738965865824	2.06827684568956e-05	0.000179291126303663	225	237	187	282	212	176	386	1565	517	6591
45	Phel_contig_10443	90.5047938068982	2.58158638018936	0.476760100190437	5.41485409361682	6.13387030918086e-08	1.03673089093854e-06	10	29	22	57	23	91	111	109	233	169
46	Phel_contig_10450	61.7712052898492	2.1158807769383	0.392575293560564	5.38974513079459	7.05576773652137e-08	1.17934597505029e-06	20	28	24	36	16	111	88	56	103	97
47	Phel_contig_10481	54.3797501412457	6.58129967235213	0.88485366807825	7.43772660924329	1.0243277239908e-13	6.2002625573768e-12	2	0	2	1	1	101	17	136	30	248
48	Phel_contig_10499	66.011506379149	2.20615170835288	0.463342159220555	4.7613878090958	1.92266173920708e-06	2.23049798356744e-05	45	25	16	25	14	117	36	206	71	114
49	Phel_contig_10506	31.4598161465002	2.47287708802647	0.413967867730042	5.97359669866718	2.32079118376144e-09	5.42809490467026e-08	10	14	7	9	12	75	39	62	26	51
50	Phel_contig_10529	62.7129033435225	2.69532421135707	0.659766907081981	4.08526736098049	4.40260922800984e-05	0.000344526673189898	6	19	9	42	16	89	64	34	243	49
51	Phel_contig_10530	11.8948121405369	2.41077736254045	0.755648187499767	3.1903436048951	0.00142103730420718	0.00659060611838613	5	1	8	2	4	15	2	51	22	14
52	Phel_contig_10537	6.59686443270893	6.27191386726265	1.09580049771757	5.72359100066694	1.04295660900076e-08	2.09655878102239e-07	0	0	0	0	0	12	14	17	6	14
53	Phel_contig_10538	73.1463147412212	2.24994208603283	0.453333116875122	4.96310991251191	6.93732963927572e-07	9.0934287014102e-06	27	36	23	21	30	225	74	80	56	120
54	Phel_contig_10557	54.9347877536841	3.88916062874931	1.03180808301073	3.76926745660014	0.000163727370549862	0.00106403215609855	29	2	0	2	3	14	123	44	18	279
55	Phel_contig_10565	13.3328391059473	2.77359746503533	0.732668346291108	3.78561115554636	0.000153331276281722	0.00100415359681558	1	2	10	2	3	20	4	47	27	19
56	Phel_contig_10570	7.46901973711525	5.85519288735361	1.1941416206797	4.90326506166064	9.42566594142235e-07	1.18487857981488e-05	0	0	0	1	0	5	12	21	28	4
57	Phel_contig_10573	47.0867185508303	2.41421575344555	0.50485901307513	4.78196029172659	1.73593975102971e-06	2.03798576904905e-05	11	14	24	20	10	80	41	52	141	46
58	Phel_contig_10595	30.7189329306355	2.08368736964621	0.565381500366947	3.68545374812201	0.000228295540842364	0.00141303033682846	12	5	12	25	9	47	20	56	89	21
59	Phel_contig_106	2601.92627745986	2.38436997105296	0.486843765477334	4.89760810373152	9.70102665221093e-07	1.21276220033941e-05	1080	832	740	673	1199	9061	2082	4659	1107	3706
60	Phel_contig_1060	3628.94697263007	3.99549595680434	0.428468209337975	9.32506979450767	1.10910572442935e-20	1.89580348292709e-18	674	344	438	376	452	9724	4261	9379	1752	7952
61	Phel_contig_10605	107.514467972002	3.61268807859661	0.924410781768545	3.90809816355123	9.30255114031689e-05	0.00065396982641369	72	4	2	3	2	128	275	229	43	267
62	Phel_contig_10612	37.0717507587554	3.02514414477146	0.607547223995616	4.9792740799245	6.38232059627506e-07	8.48208846775372e-06	6	3	6	22	7	84	55	22	84	48
63	Phel_contig_10616	149.67651127573	3.15527228305879	0.575916219118919	5.4787001621277	4.28461707783076e-08	7.51273051234092e-07	32	34	54	26	12	242	99	153	572	149
64	Phel_contig_10618	48.5212669292799	5.39141917005357	0.97151897169434	5.54947389308402	2.865305328789e-08	5.22990384323892e-07	5	1	2	2	2	30	192	9	5	182
65	Phel_contig_10620	2.62648340060149	4.93709549551235	1.85355251025325	2.66358544913184	0.00773127735210351	0.0263540268249679	0	0	0	0	0	19	2	1	0	1
66	Phel_contig_10643	121.076592900565	3.04072380121257	0.463237732780968	6.56406761806321	5.23594395427797e-11	1.78771965815787e-09	39	20	27	31	23	54	173	231	196	378
67	Phel_contig_10658	11.5323662695807	2.29281702846071	0.658340999082259	3.48271948983422	0.000496348151016324	0.00273403932880455	1	5	1	4	11	21	12	37	17	8
68	Phel_contig_1066	19549.839916483	7.219870435703	0.554350288927541	13.0240221389092	8.93382413274136e-39	6.9372420651327e-36	507	198	174	198	319	42376	34623	22644	6818	73641
69	Phel_contig_10680	23.0086918529355	2.87996611887293	0.856307659632578	3.36323760096769	0.00077034030788607	0.00395248421516474	7	0	0	20	3	25	47	23	32	58
70	Phel_contig_10685	235.750316095389	2.46800035297941	0.680435230217982	3.62709078450975	0.000286632535805633	0.00171474775657616	221	38	35	19	66	597	84	639	164	491
71	Phel_contig_10686	46.973822116415	3.35507461505257	0.725263178027221	4.62600986331426	3.7277755364809e-06	4.00448551503865e-05	18	0	2	6	20	43	72	68	55	165
72	Phel_contig_10690	43.799099381544	3.61856378751163	0.651844503038178	5.55126839398951	2.8360427240722e-08	5.18057819978467e-07	14	3	4	11	3	16	145	81	58	74
73	Phel_contig_10704	105.857283826973	3.92625267007592	0.924021091597084	4.24909420984078	2.14636642864041e-05	0.00018533739236762	26	8	1	30	5	23	515	61	24	247
74	Phel_contig_10705	98.712370449134	3.14975545344431	0.504034867271511	6.24908247021653	4.12870883338449e-10	1.16521338186629e-08	32	14	14	11	38	81	163	451	74	149
75	Phel_contig_10707	177.746254382617	2.2343299152232	0.427376149176373	5.22801733210694	1.7133745227168e-07	2.63681159560572e-06	93	36	35	104	69	216	243	328	435	147
76	Phel_contig_10724	1193.220758667	3.68870828075729	0.748858835935466	4.92577252714044	8.40277055617229e-07	1.07569711811423e-05	66	115	117	562	75	1394	393	3552	4948	410
77	Phel_contig_10772	20.0272622540202	4.93398950090199	0.74447154116063	6.62750585900156	3.41406089995692e-11	1.21449407250038e-09	0	1	1	1	4	17	20	75	47	35
78	Phel_contig_10776	193.495370459246	4.22285089881946	0.922238232959551	4.57891545579056	4.67393053894858e-06	4.90455923504033e-05	10	1	7	6	91	42	777	643	178	120
79	Phel_contig_10782	304.71766307255	4.84420555461255	0.778210855015861	6.2247982322398	4.82176126786494e-10	1.33312134016311e-08	73	7	1	8	19	422	445	635	188	1143
